Ano,Código da Área,Área de Avaliação,Código da IES,Nome da IES,Sigla da IES,Organização Acadêmica,Categoria Administrativa,Código do Curso,Modalidade de Ensino,Código do Município,Município do Curso,Sigla da UF,Nº de Concluintes Inscritos,Nº  de Concluintes Participantes,Nota Bruta - FG,Nota Padronizada - FG,Nota Bruta - CE,Nota Padronizada - CE,Conceito Enade (Contínuo),Conceito Enade (Faixa),Observação
2019,5,MEDICINA VETERINÁRIA,1,UNIVERSIDADE FEDERAL DE MATO GROSSO,UFMT,Universidade,Pública Federal,37,Educação Presencial,5103403,Cuiabá,MT,23,20,42.815,2.7573,57.8,3.1363,3.0415,4,
2019,5,MEDICINA VETERINÁRIA,1,UNIVERSIDADE FEDERAL DE MATO GROSSO,UFMT,Universidade,Pública Federal,100763,Educação Presencial,5107909,Sinop,MT,46,39,42.1128,2.639,55.7282,2.7652,2.7336,3,
2019,5,MEDICINA VETERINÁRIA,2,UNIVERSIDADE DE BRASÍLIA,UNB,Universidade,Pública Federal,18031,Educação Presencial,5300108,Brasília,DF,129,119,50.605,4.0697,59.0025,3.3516,3.5312,4,
2019,5,MEDICINA VETERINÁRIA,3,UNIVERSIDADE FEDERAL DE SERGIPE,UFS,Universidade,Pública Federal,1108067,Educação Presencial,2806701,São Cristóvão,SE,47,39,45.7744,3.2559,56.9667,2.987,3.0542,4,
2019,5,MEDICINA VETERINÁRIA,3,UNIVERSIDADE FEDERAL DE SERGIPE,UFS,Universidade,Pública Federal,1321453,Educação Presencial,2804508,Nossa Senhora da Glória,SE,28,25,43.54,2.8795,51.78,2.058,2.2634,3,
2019,5,MEDICINA VETERINÁRIA,5,UNIVERSIDADE FEDERAL DO PIAUÍ,UFPI,Universidade,Pública Federal,504,Educação Presencial,2211001,Teresina,PI,64,62,43.2355,2.8282,54.5226,2.5492,2.619,3,
2019,5,MEDICINA VETERINÁRIA,5,UNIVERSIDADE FEDERAL DO PIAUÍ,UFPI,Universidade,Pública Federal,102675,Educação Presencial,2201903,Bom Jesus,PI,68,65,38.72,2.0675,48.7369,1.513,1.6516,2,
2019,5,MEDICINA VETERINÁRIA,8,UNIVERSIDADE FEDERAL DE VIÇOSA,UFV,Universidade,Pública Federal,695,Educação Presencial,3171303,Viçosa,MG,62,58,60.9638,5,67.1397,4.8091,4.8568,5,
2019,5,MEDICINA VETERINÁRIA,9,UNIVERSIDADE ESTADUAL DE LONDRINA,UEL,Universidade,Pública Estadual,777,Educação Presencial,4113700,Londrina,PR,80,76,52.1263,4.326,65.8974,4.5866,4.5214,5,
2019,5,MEDICINA VETERINÁRIA,10,PONTIFÍCIA UNIVERSIDADE CATÓLICA DO PARANÁ,PUCPR,Universidade,Privada sem fins lucrativos,60123,Educação Presencial,4127700,Toledo,PR,34,33,39.0909,2.13,51.3636,1.9834,2.0201,3,
2019,5,MEDICINA VETERINÁRIA,10,PONTIFÍCIA UNIVERSIDADE CATÓLICA DO PARANÁ,PUCPR,Universidade,Privada sem fins lucrativos,1268241,Educação Presencial,4106902,Curitiba,PR,79,71,45.5239,3.2137,55.1507,2.6617,2.7997,3,
2019,5,MEDICINA VETERINÁRIA,13,UNIVERSIDADE DE CAXIAS DO SUL,UCS,Universidade,Privada sem fins lucrativos,1190503,Educação Presencial,4305108,Caxias do Sul,RS,122,120,42.1742,2.6494,54.2117,2.4936,2.5325,3,
2019,5,MEDICINA VETERINÁRIA,17,UNIVERSIDADE FEDERAL DE UBERLÂNDIA,UFU,Universidade,Pública Federal,1440,Educação Presencial,3170206,Uberlândia,MG,102,93,47.8376,3.6035,58.029,3.1773,3.2838,4,
2019,5,MEDICINA VETERINÁRIA,20,UNIVERSIDADE DE PASSO FUNDO,UPF,Universidade,Privada sem fins lucrativos,18484,Educação Presencial,4314100,Passo Fundo,RS,92,88,34.2807,1.3196,50.4284,1.8159,1.6918,2,
2019,5,MEDICINA VETERINÁRIA,24,UNIVERSIDADE ESTADUAL DE SANTA CRUZ,UESC,Universidade,Pública Estadual,18310,Educação Presencial,2913606,Ilhéus,BA,42,42,49.25,3.8414,57.5024,3.083,3.2726,4,
2019,5,MEDICINA VETERINÁRIA,27,UNIVERSIDADE VALE DO RIO VERDE,UNINCOR,Universidade,Privada sem fins lucrativos,47273,Educação Presencial,3169307,Três Corações,MG,55,54,34.8852,1.4215,47.7444,1.3352,1.3568,2,
2019,5,MEDICINA VETERINÁRIA,29,UNIVERSIDADE ESTADUAL DO CEARÁ,UECE,Universidade,Pública Estadual,2191,Educação Presencial,2304400,Fortaleza,CE,87,68,50.2956,4.0175,60.6779,3.6517,3.7432,4,
2019,5,MEDICINA VETERINÁRIA,30,UNIVERSIDADE JOSÉ DO ROSÁRIO VELLANO,UNIFENAS,Universidade,Privada sem fins lucrativos,2295,Educação Presencial,3101607,Alfenas,MG,27,25,38.472,2.0257,54.56,2.5559,2.4234,3,
2019,5,MEDICINA VETERINÁRIA,43,FUNDAÇÃO UNIVERSIDADE DO ESTADO DE SANTA CATARINA,UDESC,Universidade,Pública Estadual,2535,Educação Presencial,4209300,Lages,SC,82,77,48.2429,3.6717,63.4896,4.1553,4.0344,5,
2019,5,MEDICINA VETERINÁRIA,56,UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO,UNESP,Universidade,Pública Estadual,3140,Educação Presencial,3524303,Jaboticabal,SP,52,47,54.3787,4.7054,63.9234,4.233,4.3511,5,
2019,5,MEDICINA VETERINÁRIA,56,UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO,UNESP,Universidade,Pública Estadual,3176,Educação Presencial,3507506,Botucatu,SP,55,55,60.9364,5,68.2055,5,5,5,
2019,5,MEDICINA VETERINÁRIA,56,UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO,UNESP,Universidade,Pública Estadual,3221,Educação Presencial,3502804,Araçatuba,SP,46,46,47.5478,3.5547,63.7565,4.2031,4.041,5,
2019,5,MEDICINA VETERINÁRIA,57,UNIVERSIDADE ESTADUAL DE MARINGÁ,UEM,Universidade,Pública Estadual,58202,Educação Presencial,4128104,Umuarama,PR,33,33,50.5061,4.053,57.4697,3.0771,3.3211,4,
2019,5,MEDICINA VETERINÁRIA,76,UNIVERSIDADE REGIONAL DE BLUMENAU,FURB,Universidade,Pública Municipal,90053,Educação Presencial,4202404,Blumenau,SC,62,60,42.045,2.6276,55.3917,2.7049,2.6856,3,
2019,5,MEDICINA VETERINÁRIA,82,UNIVERSIDADE DO OESTE DE SANTA CATARINA,UNOESC,Universidade,Privada sem fins lucrativos,60216,Educação Presencial,4219507,Xanxerê,SC,49,48,37.1167,1.7974,54.7521,2.5903,2.3921,3,
2019,5,MEDICINA VETERINÁRIA,82,UNIVERSIDADE DO OESTE DE SANTA CATARINA,UNOESC,Universidade,Privada sem fins lucrativos,1261815,Educação Presencial,4217204,São Miguel do Oeste,SC,26,26,35.6615,1.5522,57.7769,3.1321,2.7372,3,
2019,5,MEDICINA VETERINÁRIA,82,UNIVERSIDADE DO OESTE DE SANTA CATARINA,UNOESC,Universidade,Privada sem fins lucrativos,1314144,Educação Presencial,4203600,Campos Novos,SC,41,39,36.8385,1.7505,47.9308,1.3686,1.4641,2,
2019,5,MEDICINA VETERINÁRIA,138,CENTRO UNIVERSITÁRIO BARÃO DE MAUÁ,CBM,Centro Universitário,Privada sem fins lucrativos,19014,Educação Presencial,3543402,Ribeirão Preto,SP,49,49,37.0082,1.7791,48.6082,1.4899,1.5622,2,
2019,5,MEDICINA VETERINÁRIA,140,UNIVERSIDADE DE VASSOURAS,,Universidade,Privada sem fins lucrativos,74028,Educação Presencial,3306206,Vassouras,RJ,55,49,38.1143,1.9654,53.4265,2.3529,2.2561,3,
2019,5,MEDICINA VETERINÁRIA,142,CENTRO UNIVERSITÁRIO DO TRIÂNGULO,UNITRI,Centro Universitário,Privada sem fins lucrativos,1178612,Educação Presencial,3170206,Uberlândia,MG,59,58,34.0879,1.2871,45.0724,0.8566,0.9642,2,
2019,5,MEDICINA VETERINÁRIA,143,UNIVERSIDADE DE UBERABA,UNIUBE,Universidade,Privada sem fins lucrativos,18572,Educação Presencial,3170107,Uberaba,MG,106,103,38.7505,2.0726,58.2233,3.2121,2.9272,3,
2019,5,MEDICINA VETERINÁRIA,146,CENTRO UNIVERSITÁRIO DE RIO PRETO,UNIRP,Centro Universitário,Privada com fins lucrativos,4679,Educação Presencial,3549805,São José do Rio Preto,SP,159,154,34.9286,1.4288,48.463,1.4639,1.4551,2,
